param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.325965240864356,5.238681898041832,5.526169903853643,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
1,0.06711342939072172,-0.0977398751157194,0.02215191565239017,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
2,-0.004338273265319172,-0.01257066019551932,0.009275442185904056,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
3,0.006027040579103256,-0.00992240202593522,0.0013544823324047482,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
4,-0.01179488424398046,0.0016133388512895087,0.0017599628127851598,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
0,4.325963596477668,5.234287525968183,5.413790026564559,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
1,0.08005256712294706,-0.05237149648358868,-0.011682819567076931,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
2,-0.011790598912050724,0.0005511673911308746,-0.003521321688225739,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
3,0.0019869394337572177,-0.00455465236636956,-0.0002901937765505657,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
4,-0.0033937963583263167,-0.0022537589248227685,-0.002837627357686643,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
0,4.333248723558724,5.191233282762384,5.499969446893133,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
1,0.07420699970281065,-0.13962506885131876,0.004022380289454419,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
2,-0.024076525479033672,-0.023565749858786393,0.0062285190928943876,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
3,-0.02089777368410124,-0.012946702854650435,0.0006905903670367934,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
4,0.0018923157005359134,-0.004729678621862278,-0.0005252508128288431,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
0,4.313592845233837,5.244599691663683,5.530664580073678,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
1,0.10139986816926759,-0.11313346646291836,0.020912752253396383,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
2,0.007908828713469299,-0.010979999117444478,0.011376693408954454,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
3,-0.010645224490317294,-0.013272738300775059,-0.0004831132966514324,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
4,-0.0006188221392639418,-0.007403555696213822,-0.002866628542223797,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
0,4.408273143161012,5.185625673401336,5.519613119624318,0.0007329840659273638,josef-fruehwald_speaker,0-0-343-1,group_0,ay0,5117.948717948718,1,4,lights,1,0.09000000000000341,green,when,L,T,L,T,internal
