param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,322.4520974990528,1178.186639503969,1753.2389150181964,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
1,30.339268532723654,-159.93374252059448,55.474408620553476,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
2,-0.7277856792300109,-11.396823444166403,23.708751365164037,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
3,2.2534082146695398,-15.001405251583556,3.9752857374604584,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
4,-5.069135079372835,4.757500173123251,4.59240056628236,0.00019660688992460793,josef-fruehwald_speaker,0-0-3-4,group_0,ay0,6164.102564102564,1,4,sunlight,2,0.08000000000000007,the,strikes,L,T,L,T,internal
0,323.0302347956826,1162.816549573033,1494.9369255523438,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
1,36.01296932714702,-86.04077776801012,-24.60801267378336,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
2,-3.844364255114676,3.558433928219984,-7.269425216946331,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
3,0.38489903206806825,-7.371263824599643,-0.4631319450222558,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
4,-1.3473348507430774,-3.202466697668623,-5.98175178727688,0.000035116716420716365,josef-fruehwald_speaker,0-0-4-3,group_0,ay0,5641.025641025641,1,4,strikes,1,0.06999999999999984,sunlight,raindrops,R,K,R,K,internal
0,326.39157691873993,1112.723379039318,1688.5374619542827,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
1,33.53566038099596,-212.18658730022852,9.677472558483679,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
2,-10.510359793472464,-19.036433164747336,14.893200291544668,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
3,-10.226620239819647,-14.89232255141319,1.7118607720339365,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
4,0.21264903869181345,-3.653362302011101,-1.2037257003717223,0.00021677353870872234,josef-fruehwald_speaker,0-0-25-1,group_0,ay0,6164.102564102564,1,4,white,1,0.09999999999999964,of,light,W,T,W,T,internal
0,318.70539516019045,1191.9682633950758,1764.3818561427222,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
1,45.7648391062822,-187.1233872625753,52.77182876344409,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
2,5.367766526606849,-5.168636945842559,28.82605552101288,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
